processor,os,os_version,file,time_avg_complete,time_avg_segmentating,n,method
Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,Linux,Linux-4.18.0-305.3.1.el8.x86_64-x86_64-with-glibc2.28,bottle28.csv,0.3287592088337988,0.0003974676132202148,10,quick_iterative
Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,Linux,Linux-4.18.0-305.3.1.el8.x86_64-x86_64-with-glibc2.28,bottle27.csv,0.3904909281991422,0.0007985591888427735,10,quick_iterative
Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,Linux,Linux-4.18.0-305.3.1.el8.x86_64-x86_64-with-glibc2.28,bottle37.csv,0.3406276451423764,0.011087155342102051,10,quick_iterative
Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,Linux,Linux-4.18.0-305.3.1.el8.x86_64-x86_64-with-glibc2.28,bottle25.csv,0.3781096874270588,0.0005039215087890625,10,quick_iterative
Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,Linux,Linux-4.18.0-305.3.1.el8.x86_64-x86_64-with-glibc2.28,bottle24.csv,0.35486530251801013,0.00031890869140625,10,quick_iterative
Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,Linux,Linux-4.18.0-305.3.1.el8.x86_64-x86_64-with-glibc2.28,bottle1.csv,0.43634840939193964,0.00032889842987060547,10,quick_iterative
Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,Linux,Linux-4.18.0-305.3.1.el8.x86_64-x86_64-with-glibc2.28,bottle12.csv,0.36778637883253396,0.0003518581390380859,10,quick_iterative
Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,Linux,Linux-4.18.0-305.3.1.el8.x86_64-x86_64-with-glibc2.28,bottle48.csv,0.3298472285270691,0.00037641525268554686,10,quick_iterative
Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,Linux,Linux-4.18.0-305.3.1.el8.x86_64-x86_64-with-glibc2.28,bottle41.csv,0.4286829516291618,0.00044434070587158204,10,quick_iterative
Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,Linux,Linux-4.18.0-305.3.1.el8.x86_64-x86_64-with-glibc2.28,bottle17.csv,0.3658761871047318,0.0004936695098876953,10,quick_iterative
Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,Linux,Linux-4.18.0-305.3.1.el8.x86_64-x86_64-with-glibc2.28,bottle33.csv,0.2756659546867013,0.0004703521728515625,10,quick_iterative
Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,Linux,Linux-4.18.0-305.3.1.el8.x86_64-x86_64-with-glibc2.28,bottle29.csv,0.32574839307926595,0.0005522012710571289,10,quick_iterative
Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,Linux,Linux-4.18.0-305.3.1.el8.x86_64-x86_64-with-glibc2.28,person1.csv,0.4096785974688828,0.0024991273880004884,10,quick_iterative
Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,Linux,Linux-4.18.0-305.3.1.el8.x86_64-x86_64-with-glibc2.28,bottle11.csv,0.3711140028666705,0.00036509037017822265,10,quick_iterative
Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,Linux,Linux-4.18.0-305.3.1.el8.x86_64-x86_64-with-glibc2.28,bottle40.csv,0.3902321327012032,0.0010300397872924805,10,quick_iterative
Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,Linux,Linux-4.18.0-305.3.1.el8.x86_64-x86_64-with-glibc2.28,bottle30.csv,0.36832168460823594,0.000442194938659668,10,quick_iterative
Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,Linux,Linux-4.18.0-305.3.1.el8.x86_64-x86_64-with-glibc2.28,bottle19.csv,0.4557604108005762,0.0004413604736328125,10,quick_iterative
Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,Linux,Linux-4.18.0-305.3.1.el8.x86_64-x86_64-with-glibc2.28,bottle36.csv,0.43329642694443465,0.0004959821701049805,10,quick_iterative
Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,Linux,Linux-4.18.0-305.3.1.el8.x86_64-x86_64-with-glibc2.28,backpack3.csv,0.30201511955820026,0.0014589071273803712,10,quick_iterative
